100,70,60,100,90,92,79,48,40,61,40,51,64,,,,,,,
80,47,47,42,31,60,58,74,56,86,44,85,71,43,51,67,52,82,,
68,72,78,41,68,81,70,45,42,50,66,45,35,82,38,60,78,,,
59,84,31,52,51,47,35,68,76,91,73,44,26,24,80,46,45,,,
212,67,35,90,53,68,95,37,46,46,29,28,28,31,,,,,,
70,29,62,50,67,15,45,75,41,94,57,57,79,77,55,83,32,,,
75,27,37,29,53,70,23,82,38,38,36,43,44,39,47,,,,,
50,43,57,20,34,30,39,133,30,59,33,97,33,35,,,,,,
72,24,33,49,37,36,69,23,24,62,27,20,28,52,,,,,,
49,27,26,33,29,32,34,43,57,43,36,51,56,26,,,,,,
20,56,25,22,18,60,32,119,72,46,32,39,32,37,,,,,,
77,34,52,30,62,25,32,66,59,33,25,29,35,30,,,,,,
72,74,21,99,81,21,38,37,118,53,46,133,55,79,,,,,,
97,76,54,40,36,34,52,99,85,32,86,69,89,51,,,,,,
53,38,57,109,32,51,95,48,33,44,57,49,15,36,,,,,,
47,56,25,47,44,53,23,28,65,86,32,45,32,30,,,,,,
38,93,37,62,53,55,33,30,42,46,,,,,,,,,,
57,45,43,34,34,54,45,47,41,55,,,,,,,,,,
58,55,37,62,51,73,57,50,64,46,,,,,,,,,,
94,33,53,54,62,48,43,54,81,59,,,,,,,,,,
59,40,42,50,36,26,45,49,27,28,,,,,,,,,,
29,29,39,56,30,53,43,47,18,60,,,,,,,,,,
70,24,20,39,39,32,25,55,41,32,,,,,,,,,,
94,115,145,145,,,,,,,,,,,,,,,,
45,48,37,27,72,76,82,144,,,,,,,,,,,,
35,37,32,33,26,35,,,,,,,,,,,,,,
