Name,Lines,Words,Profanity Count,Profanity List,Profanity Frequency
cartman,64,643,20,"{'semen': 8, 'stupid': 2, 'ass': 2, 'retard': 2, 'assholes': 1, 'god': 1, 'kill': 1, 'meth': 1, 'fat': 1, 'skanks': 1}",3.11
stan,57,606,6,"{'crap': 2, 'bitch': 1, 'stupid': 1, 'kill': 1, 'damn': 1}",0.99
kyle,42,317,5,"{'meth': 2, 'shit': 1, 'semen': 1, 'ass': 1}",1.58
dawson,22,474,13,"{'ass': 3, 'meth': 2, 'hell': 2, 'strip': 2, 'god': 2, 'screw': 1, 'sleazy': 1}",2.74
butters,19,130,4,"{'semen': 2, 'boobs': 1, 'spooge': 1}",3.08
fosse,12,76,4,"{'gay': 3, 'vagina': 1}",5.26
murphy,11,188,0,{},0.0
tucker,10,129,0,{},0.0
mrs farnickle,8,93,1,{'god': 1},1.08
kenny,8,41,0,{},0.0
bill,7,24,6,"{'gay': 5, 'crap': 1}",25.0
gino,5,59,1,{'hell': 1},1.69
hopkins,5,45,1,{'meth': 1},2.22
bouncer,4,39,1,{'hell': 1},2.56
liane,4,37,0,{},0.0
officer 2,4,27,1,{'hell': 1},3.7
stripper,4,20,0,{},0.0
mr garrison,3,95,4,"{'skank': 2, 'fat': 1, 'ass': 1}",4.21
jenkins,3,31,1,{'kill': 1},3.23
chris,3,28,0,{},0.0
girl,3,21,0,{},0.0
dj,2,50,0,{},0.0
sarah,2,23,0,{},0.0
tall goon,2,20,0,{},0.0
lead fbi agent,2,18,0,{},0.0
fields,2,8,0,{},0.0
the boys,2,3,0,{},0.0
a boy,1,28,0,{},0.0
sarahs mom,1,23,0,{},0.0
owner,1,15,1,{'meth': 1},6.67
officer 1,1,9,0,{},0.0
mr farnickle,1,8,0,{},0.0
man 1,1,8,0,{},0.0
officer 4,1,7,0,{},0.0
officer 3,1,7,0,{},0.0
man 4,1,5,1,{'shit': 1},20.0
the boy,1,5,0,{},0.0
man 3,1,5,0,{},0.0
stan kyle cartman,1,3,0,{},0.0
