cartman,cartman,jimbo,stan,kyle,stan,cartman,cartman,kyle,,,,,,,,,,,
stan,dr doctor,mr mackey,officer barbrady,chef,jimbo,stan,stan,kyle,,,,,,,,,,,
mr garrison,stan,stan,cartman,cartman,gerald,cartman,randy,kyle,,,,,,,,,,,
kyle,cartman,timmy,stan,cartman,stan,wendy,cartman,cartman,,,,,,,,,,,
butters,timmy,kyle,cartman,terrance,cartman,stan,stan,stan,,,,,,,,,,,
cartman,stan,butters,cartman,stan,butters,cartman,priest maxi,tweek,,,,,,,,,,,
kyle,jimmy,cartman,cartman,cartman as jennifer lopez,cartman,randy,mr garrison,cartman,,,,,,,,,,,
stan,jimmy,cartman,stan,butters,michael,stan,stan,kyle,,,,,,,,,,,
randy,cartman,cartman,cartman,randy,butters,jimmy,stan,cartman,,,,,,,,,,,
stan,gerald,cartman,cartman,mingie,al gore,cartman,cartman,kyle,,,,,,,,,,,
kyle,cartman,travis,cartman,stan,janet,cartman,cartman,randy,,,,,,,,,,,
butters,kyle,kyle,stephen abootman,cartman,randy,cartman,cartman,cartman,,,,,,,,,,,
kyle,the coon,stan,randy,cartman,randy,cartman,kyle,butters,,,,,,,,,,,
randy,cartman,cartman,stan,tom cruise,cartman,nathan,cartman,kyle,,,,,,,,,,,
cartman,jimmy,mr mackey,cartman,cartman,butters,stan,stan,butters,,,,,,,,,,,
kyle,stan,cartman,cartman,stan,cartman,cartman,randy,kyle,,,,,,,,,,,
wendy,randy,cartman,pete,kyle,kyle,cartman,cartman,cartman,,,,,,,,,,,
kyle,cartman,cartman,nathan,cartman,stan,cartman,cartman,kyle,,,,,,,,,,,
randy,mr garrison,tuong lu kim,cartman,randy,tweek,cartman,pc principal,kyle,,,,,,,,,,,
cartman,mr mackey,gerald,gerald,garrison,cartman,gerald,garrison,kyle,,,,,,,,,,,
bob white,tweek,randy,cartman,stan,cartman,cartman,heidi,pc principal,,,,,,,,,,,
cartman,fr maxi,mr hankey,kyle,mackey,gore,stan,cartman,stephen,,,,,,,,,,,
randy,stan,liane,randy,randy,randy,strong woman,sheila,scott,,,,,,,,,,,
randy,cartman,stan,stan,,,,,,,,,,,,,,,,
pc principal,stan,cartman,mr mackey,stan,randy,cartman,randy,,,,,,,,,,,,
cartman,kyle,randy,stan,cartman,garrison,,,,,,,,,,,,,,
